fitness: 0.5839 | erro: 0.71 | a: 1.29 | b: -0.71
fitness: 0.5839 | erro: 0.71 | a: 1.29 | b: -0.71
fitness: 0.5864 | erro: 0.71 | a: 1.29 | b: -0.67
fitness: 0.5864 | erro: 0.71 | a: 1.29 | b: -0.67
fitness: 0.5864 | erro: 0.71 | a: 1.29 | b: -0.67
fitness: 0.5864 | erro: 0.71 | a: 1.29 | b: -0.67
fitness: 0.5864 | erro: 0.71 | a: 1.29 | b: -0.67
fitness: 0.6127 | erro: 0.63 | a: 1.21 | b: -0.67
fitness: 0.6127 | erro: 0.63 | a: 1.21 | b: -0.67
fitness: 0.6127 | erro: 0.63 | a: 1.21 | b: -0.67
fitness: 0.6127 | erro: 0.63 | a: 1.21 | b: -0.67
fitness: 0.6127 | erro: 0.63 | a: 1.21 | b: -0.67
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
fitness: 0.7320 | erro: 0.37 | a: 1.21 | b: -0.15
